ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,
time,14:12:44,14:12:48,14:12:53,14:12:58,14:13:02,14:13:06,14:13:13,14:13:17,14:13:22,
485,93.9,7272.9,8598.4,5669.7,11641.5,10339.2,16043.2,7927.7,3834.9,
486,105.6,7684.0,7936.2,5711.4,11749.6,9803.9,15787.7,7811.0,3776.0,
487,120.7,8079.1,7302.3,5763.4,11874.4,9308.9,15563.3,7703.8,3727.8,
488,131.9,8554.6,6789.5,5882.8,12104.0,8916.4,15517.7,7671.9,3723.4,
489,136.6,9162.2,6476.4,6113.1,12506.5,8692.6,15766.7,7764.0,3791.1,
490,141.3,9769.8,6163.3,6343.4,12909.0,8468.9,16015.7,7856.1,3858.8,
491,123.1,10256.2,5795.6,6478.1,13213.7,8258.0,16183.7,7906.5,3879.7,
492,103.4,10734.7,5424.4,6606.5,13512.0,8048.0,16346.2,7954.0,3897.4,
493,100.4,11235.2,5112.5,6771.6,13875.5,7876.4,16560.8,8058.6,3935.1,
494,113.7,11757.5,4859.2,6972.7,14303.3,7742.9,16826.7,8219.2,3992.4,
495,125.1,12285.5,4607.4,7177.3,14732.7,7612.0,17098.9,8380.0,4051.8,
496,111.4,12885.2,4375.4,7424.5,15182.6,7514.4,17451.7,8542.4,4136.8,
497,97.8,13484.8,4143.4,7671.7,15632.5,7416.7,17804.6,8704.8,4221.8,
498,110.6,14147.5,3954.5,7937.5,16201.2,7369.1,18249.8,8936.2,4333.9,
499,137.8,14844.2,3789.0,8213.3,16833.9,7348.5,18745.0,9204.8,4460.5,
500,161.1,15526.3,3625.6,8488.6,17444.2,7332.5,19231.8,9460.7,4583.7,
501,171.1,16159.2,3469.5,8762.0,17979.1,7331.5,19690.6,9674.1,4695.5,
502,181.2,16792.1,3313.4,9035.4,18514.0,7330.6,20149.3,9887.5,4807.4,
503,145.4,17638.5,3151.4,9413.6,19270.4,7377.8,20862.5,10209.0,4967.0,
504,99.1,18533.4,2987.9,9815.6,20077.1,7435.9,21633.5,10555.0,5137.3,
505,76.9,19395.2,2828.3,10212.2,20876.9,7487.4,22371.2,10896.0,5302.8,
506,90.1,20208.4,2674.2,10600.9,21666.7,7529.3,23060.2,11230.0,5461.1,
507,103.2,21021.5,2520.1,10989.5,22456.4,7571.1,23749.0,11563.8,5619.3,
508,112.2,21700.1,2343.9,11337.0,23064.3,7578.6,24302.7,11815.7,5757.2,
509,121.2,22378.7,2167.8,11684.4,23672.2,7586.1,24856.4,12067.5,5895.1,
510,136.7,22974.0,1997.4,11909.8,24151.6,7574.3,25266.7,12267.5,5980.0,
511,156.4,23514.2,1830.8,12054.3,24545.8,7549.8,25582.1,12433.0,6030.0,
512,172.2,24032.2,1672.3,12207.0,24922.4,7516.6,25879.1,12589.8,6093.8,
513,172.9,24466.1,1545.0,12390.9,25231.2,7450.4,26105.9,12713.3,6210.2,
514,173.6,24899.9,1417.6,12574.9,25540.1,7384.2,26332.7,12836.7,6326.6,
515,171.0,25331.0,1272.6,12798.3,25957.5,7377.5,26647.6,13017.8,6408.0,
516,167.7,25761.5,1123.7,13030.5,26398.9,7383.9,26982.0,13211.8,6481.6,
517,162.9,26168.5,994.3,13215.9,26786.2,7366.2,27290.3,13360.7,6548.6,
518,156.2,26545.1,890.2,13340.4,27103.0,7317.1,27564.5,13451.2,6606.7,
519,150.1,26906.0,786.5,13457.9,27400.4,7268.4,27818.4,13535.8,6660.0,
520,155.0,27003.2,689.6,13458.2,27373.6,7226.7,27733.4,13523.4,6630.6,
521,159.9,27100.4,592.6,13458.4,27346.8,7185.0,27648.4,13510.9,6601.1,
522,166.2,27179.3,524.7,13495.9,27381.2,7123.7,27710.5,13525.8,6598.0,
