ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,
time,17:33:54,17:34:01,17:34:04,17:34:08,17:34:11,17:34:15,17:34:19,17:34:23,17:34:26,17:34:30,17:34:34,17:34:38,17:34:44,17:34:48,17:34:52,17:34:56,17:35:01,17:35:05,17:35:27,17:35:39,
412,75.3,190.2,178.7,274.7,288.0,91.4,78.1,115.5,102.4,98.5,61.1,83.2,127.3,110.0,76.8,109.9,139.3,215.6,275.2,396.8,
413,74.7,180.6,205.8,283.9,295.3,66.1,72.6,94.2,89.2,104.2,51.8,81.8,94.6,95.2,67.9,87.6,148.8,234.5,292.1,425.0,
414,73.3,159.9,239.5,283.4,300.8,29.9,64.6,64.8,77.4,114.7,38.9,77.4,45.3,69.6,61.1,57.6,152.7,258.8,309.0,465.4,
415,74.0,146.9,271.1,293.2,320.6,5.0,61.7,46.2,71.5,126.1,33.6,74.9,10.6,53.3,61.5,37.2,158.1,283.3,333.8,509.9,
416,86.1,172.8,292.5,355.8,412.9,37.7,84.3,82.5,95.3,141.4,67.0,82.9,51.1,84.5,99.0,65.6,171.0,308.9,398.9,575.2,
417,98.2,198.7,313.8,418.3,505.2,70.5,107.0,118.8,119.1,156.7,100.3,91.0,91.7,115.8,136.6,94.1,183.9,334.4,464.0,640.4,
418,89.6,214.8,341.3,462.6,569.0,91.6,105.1,136.5,140.2,176.3,106.9,94.7,105.7,121.7,147.4,99.9,208.9,374.1,514.0,706.8,
419,66.8,224.1,373.0,494.3,613.2,104.8,86.2,141.2,159.4,198.9,95.0,95.5,101.4,110.1,139.8,90.1,242.2,423.6,553.5,774.0,
420,44.5,234.2,406.0,528.0,659.2,117.3,67.8,145.7,177.2,220.3,83.2,95.9,97.7,99.1,132.0,80.7,274.9,473.1,594.5,842.8,
421,44.5,270.7,488.0,646.0,780.1,98.2,71.3,138.9,137.8,198.6,75.7,78.8,116.8,113.3,117.6,87.5,288.8,523.1,698.0,976.2,
422,44.4,307.3,570.1,763.9,901.1,79.2,74.7,132.2,98.3,176.9,68.1,61.7,135.9,127.5,103.3,94.2,302.7,573.0,801.4,1109.7,
423,50.1,351.2,647.3,894.1,1045.7,73.4,86.6,128.8,88.1,162.0,65.5,64.0,140.6,127.3,106.2,90.2,327.9,634.6,905.7,1255.6,
424,62.4,403.6,719.0,1038.7,1217.8,83.1,108.2,129.1,112.1,155.2,68.8,89.1,128.4,110.3,129.2,73.5,366.3,709.8,1011.0,1416.2,
425,74.7,456.1,790.6,1183.3,1389.9,92.7,129.9,129.4,136.0,148.3,72.0,114.1,116.2,93.3,152.2,56.8,404.7,785.0,1116.2,1576.7,
426,88.8,523.7,961.9,1422.3,1702.6,93.4,132.3,133.1,147.3,145.4,87.8,119.6,126.3,125.0,173.5,74.9,460.9,961.1,1346.5,1897.2,
427,103.2,592.9,1144.0,1671.6,2030.7,93.0,132.6,137.2,157.1,142.9,104.9,122.9,138.8,161.9,194.6,96.8,519.1,1148.2,1590.3,2235.2,
428,109.9,673.4,1327.5,1952.5,2378.9,91.1,127.1,139.9,157.5,143.0,112.9,119.0,144.9,171.5,209.1,110.6,591.5,1333.4,1851.9,2608.2,
429,102.3,775.3,1513.5,2293.1,2765.0,86.4,110.7,140.0,140.2,147.9,103.4,101.4,138.9,129.6,211.2,109.3,690.7,1515.0,2146.9,3047.4,
430,94.7,877.1,1699.5,2633.8,3151.1,81.6,94.3,140.1,122.9,152.7,93.9,83.8,132.9,87.6,213.2,107.9,789.9,1696.6,2441.8,3486.5,
431,95.6,1042.8,2024.4,3122.8,3764.9,80.8,104.3,131.2,137.4,156.3,89.8,83.5,125.1,101.8,194.7,100.4,939.0,2002.9,2888.7,4148.2,
432,98.7,1224.9,2384.9,3649.9,4437.0,81.0,121.1,120.1,160.0,159.6,87.1,87.6,116.9,130.2,171.0,91.5,1101.0,2341.2,3374.4,4866.8,
433,96.0,1423.3,2798.6,4257.5,5200.2,84.2,130.4,115.5,175.5,162.4,82.2,91.5,116.2,150.3,151.3,84.0,1278.8,2726.4,3930.7,5675.0,
434,76.0,1670.6,3372.1,5106.9,6237.0,96.5,117.2,130.5,169.5,163.8,70.9,94.6,138.1,145.3,143.5,81.0,1504.0,3252.0,4699.0,6752.0,
435,56.0,1918.0,3945.6,5956.3,7273.7,108.7,104.0,145.6,163.6,165.2,59.6,97.7,160.0,140.3,135.7,78.1,1729.3,3777.7,5467.2,7829.0,
436,61.2,2239.5,4589.5,6951.2,8489.2,115.8,110.8,147.2,156.9,170.6,55.8,99.8,171.6,126.6,143.5,75.0,1999.5,4385.0,6342.1,9135.9,
437,76.6,2591.6,5262.6,8006.1,9778.4,120.8,126.0,143.2,150.0,177.8,55.0,101.5,178.9,109.2,157.7,71.8,2288.2,5026.1,7261.1,10537.5,
438,87.3,2962.8,5980.3,9118.3,11144.8,122.0,137.9,139.3,146.7,182.7,54.6,104.2,182.7,101.2,171.6,70.2,2594.2,5701.4,8243.1,12008.1,
