ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,
time,23:46:38,23:46:40,23:46:45,23:46:50,23:46:55,23:47:02,23:47:06,23:47:11,23:47:16,23:47:21,23:47:31,23:47:34,23:47:39,23:47:44,23:47:49,23:48:01,23:48:04,23:48:09,23:48:14,23:48:19,
408,-24.7,9.8,19.7,34.4,48.7,-18.9,-15.7,-18.6,17.2,19.5,-42.9,-10.0,-18.9,-2.9,-3.3,-24.4,30.7,93.8,123.7,160.6,
409,-20.1,12.7,32.9,37.1,29.9,-17.3,-13.5,-17.4,11.4,19.8,-44.6,-5.6,-21.9,12.3,-17.8,-29.4,32.8,85.3,144.9,181.0,
410,-15.8,18.5,41.2,42.2,24.5,-18.8,-8.1,-14.8,7.4,22.3,-47.0,-0.7,-20.4,18.7,-21.5,-32.7,36.1,87.7,160.6,196.4,
411,-12.0,30.5,38.8,52.5,47.9,-26.8,3.9,-9.5,7.2,29.4,-50.8,4.9,-9.3,6.4,-2.6,-32.4,42.2,113.4,164.6,201.2,
412,-8.2,42.5,36.4,62.9,71.3,-34.8,15.9,-4.1,7.0,36.5,-54.6,10.6,1.7,-5.9,16.4,-32.1,48.3,139.1,168.5,206.1,
413,-23.6,19.2,12.0,51.7,54.3,-53.0,-16.6,-22.9,-4.4,30.5,-65.1,-19.0,-14.3,-32.1,-0.6,-41.7,29.2,113.9,161.0,202.1,
414,-45.8,-16.6,-20.2,33.1,23.2,-74.8,-64.8,-50.3,-19.6,20.0,-78.0,-61.2,-39.9,-63.1,-30.3,-54.9,1.2,70.7,149.5,194.9,
415,-57.6,-41.6,-39.6,22.8,5.7,-87.6,-97.0,-66.7,-27.0,15.0,-82.0,-89.0,-55.3,-79.7,-50.6,-62.6,-15.0,41.7,147.0,196.1,
416,-16.3,-11.6,6.5,56.0,58.1,-54.2,-47.3,-27.1,5.8,37.9,-40.2,-43.3,-18.4,-21.9,-22.8,-42.7,28.7,84.9,191.1,239.7,
417,25.0,18.4,52.6,89.2,110.6,-20.9,2.5,12.5,38.6,60.9,1.5,2.3,18.6,36.0,5.1,-22.8,72.4,128.1,235.2,283.3,
418,22.7,30.9,69.9,99.1,131.5,-15.5,12.3,18.9,37.9,70.8,5.8,12.7,25.0,42.7,12.2,-19.8,78.9,157.7,256.2,298.6,
419,-9.6,31.3,67.5,92.9,130.5,-29.4,-5.4,2.3,14.2,71.8,-15.9,-1.1,10.4,14.1,5.1,-28.5,59.7,177.9,261.2,294.5,
420,-41.3,31.6,64.9,86.9,129.4,-43.2,-22.7,-14.1,-8.9,72.5,-37.1,-14.8,-3.9,-13.7,-2.1,-37.4,40.8,197.7,265.8,291.2,
421,-48.3,27.1,59.3,84.6,119.6,-56.3,-20.5,-21.8,-7.7,65.0,-43.9,-22.4,-4.3,-13.0,-11.8,-55.6,36.8,201.7,252.8,322.3,
422,-55.3,22.7,53.7,82.3,109.9,-69.4,-18.4,-29.4,-6.5,57.6,-50.6,-30.0,-4.7,-12.2,-21.5,-73.7,32.7,205.8,239.7,353.4,
423,-54.4,28.7,54.9,94.7,117.1,-66.9,-20.2,-24.8,-3.1,54.4,-47.6,-25.1,-2.8,-21.5,-21.9,-67.3,42.2,213.5,252.4,381.4,
424,-44.3,46.9,64.2,124.3,144.2,-46.2,-26.7,-5.8,3.0,56.1,-33.3,-5.8,1.9,-42.6,-11.4,-32.2,67.6,225.8,295.2,405.9,
425,-34.2,65.1,73.4,153.8,171.3,-25.5,-33.1,13.2,9.2,57.9,-19.0,13.6,6.5,-63.8,-1.0,2.9,93.0,238.0,338.0,430.3,
426,-37.1,60.8,88.6,158.0,203.0,-30.6,-31.8,13.6,6.2,58.1,-26.3,-5.0,-8.1,-58.1,0.1,-13.3,93.7,240.9,363.0,459.1,
427,-41.3,54.0,104.4,159.4,235.2,-38.5,-29.7,12.0,2.2,58.2,-36.0,-27.7,-24.8,-49.4,0.2,-35.1,91.7,242.9,386.0,488.3,
428,-44.4,51.0,119.9,171.1,256.7,-43.5,-27.5,7.3,3.7,62.7,-43.8,-37.9,-35.3,-30.4,3.3,-48.1,97.8,252.4,403.7,523.8,
429,-45.2,55.1,134.5,201.9,258.0,-42.9,-25.1,-3.0,15.6,75.6,-48.0,-24.8,-33.7,8.0,11.8,-44.6,119.0,276.2,411.4,571.2,
430,-46.0,59.2,149.1,232.8,259.3,-42.4,-22.7,-13.3,27.4,88.5,-52.2,-11.7,-32.2,46.5,20.3,-41.1,140.2,300.0,419.1,618.6,
431,-38.2,69.1,174.1,250.3,293.7,-34.0,-18.6,-6.7,9.9,92.4,-38.6,-12.0,-21.3,41.2,24.4,-39.8,160.1,334.1,467.7,672.3,
432,-28.3,80.6,201.6,264.3,336.6,-23.5,-14.1,4.1,-15.1,94.1,-20.3,-15.8,-7.9,24.7,27.3,-38.9,179.8,370.8,526.8,727.5,
433,-26.3,96.7,226.1,286.6,380.1,-22.0,-14.4,9.9,-33.9,94.5,-14.0,-20.1,-5.4,5.6,26.5,-40.0,197.9,407.0,590.2,796.8,
434,-48.1,126.9,241.1,333.6,425.6,-47.3,-29.3,0.7,-34.1,91.1,-43.6,-25.9,-35.4,-21.0,14.4,-46.6,211.2,441.6,666.8,908.2,
435,-69.9,157.0,256.1,380.6,471.1,-72.6,-44.2,-8.6,-34.4,87.8,-73.2,-31.8,-65.3,-47.5,2.2,-53.2,224.5,476.3,743.5,1019.6,
436,-73.1,193.7,322.0,447.4,573.8,-67.7,-40.5,-8.0,-14.7,109.3,-66.6,-30.7,-58.6,-37.7,-1.8,-58.7,269.1,557.8,875.8,1178.7,
437,-68.7,233.2,408.9,522.4,700.2,-50.3,-29.1,-3.4,13.2,141.0,-45.2,-26.8,-36.7,-12.9,-2.5,-63.6,326.6,658.7,1031.0,1357.5,
438,-65.4,278.3,499.9,610.8,837.6,-36.5,-20.3,2.6,40.4,172.6,-29.2,-25.2,-19.0,5.5,-2.2,-66.8,387.3,773.2,1202.7,1561.6,
439,-67.9,351.3,611.1,764.4,1029.0,-39.5,-24.0,15.1,64.3,203.5,-39.9,-34.4,-21.5,-7.8,3.1,-60.9,463.9,954.2,1454.0,1888.7,
440,-70.4,424.3,722.2,918.1,1220.4,-42.6,-27.7,27.7,88.2,234.4,-50.7,-43.6,-24.1,-21.1,8.4,-55.0,540.6,1135.2,1705.4,2215.8,
441,-60.7,549.9,922.7,1196.2,1546.4,-39.5,-16.8,44.6,106.7,266.8,-55.1,-37.7,-20.7,-22.3,19.8,-43.6,701.7,1440.4,2133.4,2775.5,
442,-44.1,705.3,1174.0,1545.1,1949.0,-32.9,2.4,63.9,122.3,300.0,-55.9,-23.1,-14.0,-16.7,34.8,-28.9,911.0,1816.2,2661.8,3467.6,
443,-28.8,873.4,1453.0,1926.0,2396.3,-28.1,21.3,84.5,141.5,343.1,-56.0,-9.8,-7.6,-9.4,49.4,-17.3,1135.7,2228.4,3245.4,4234.5,
444,-23.9,1144.9,1960.1,2569.1,3210.6,-38.3,37.7,114.7,191.3,466.6,-49.7,-7.2,-3.5,11.7,61.5,-30.5,1488.2,2938.7,4281.9,5615.7,
445,-19.1,1416.4,2467.3,3212.2,4024.8,-48.5,54.2,144.8,241.0,590.0,-43.4,-4.6,0.5,32.9,73.6,-43.7,1840.8,3649.0,5318.3,6997.0,
446,-28.3,1795.7,3132.5,4052.6,5101.3,-55.3,69.6,176.5,297.3,725.1,-42.2,3.7,6.7,48.2,93.0,-57.6,2325.6,4599.2,6704.7,8805.4,
447,-47.3,2251.9,3910.2,5033.6,6364.4,-59.6,84.3,209.3,358.3,868.4,-44.6,16.1,14.5,59.4,117.5,-72.2,2904.7,5720.0,8340.2,10917.9,
448,-65.0,2725.0,4716.0,6051.6,7671.7,-62.6,101.1,245.9,424.6,1016.4,-46.5,26.2,22.3,71.6,141.7,-84.8,3502.0,6877.2,10034.5,13101.8,
449,-63.0,3445.3,5929.9,7610.3,9620.4,-47.4,148.4,337.9,568.5,1232.7,-41.6,4.5,32.0,99.3,159.6,-69.3,4363.7,8563.2,12584.4,16325.7,
450,-60.9,4165.5,7143.9,9169.0,11569.1,-32.3,195.7,430.0,712.4,1449.0,-36.7,-17.3,41.6,126.9,177.5,-53.8,5225.5,10249.1,15134.4,19549.7,
451,-45.6,4985.6,8563.9,10973.2,13872.0,-32.4,243.6,538.3,861.9,1729.4,-28.9,-4.1,58.9,160.2,216.5,-41.3,6264.8,12279.1,18103.1,23345.4,
452,-19.2,5887.7,10153.4,12979.0,16466.0,-45.2,291.9,660.0,1015.9,2062.6,-18.7,37.8,82.4,198.0,272.8,-31.2,7450.1,14591.8,21416.0,27610.9,
453,5.1,6785.9,11735.1,14978.8,19047.2,-56.9,339.8,779.9,1168.9,2394.0,-9.0,77.6,106.2,235.0,328.2,-21.6,8628.5,16890.9,24710.6,31850.6,
454,-21.2,7584.8,13120.2,16825.7,21307.4,-42.9,377.5,854.0,1293.6,2681.2,-10.6,61.1,135.6,254.6,359.9,-23.9,9632.5,18846.8,27545.3,35439.3,
455,-47.6,8383.6,14505.4,18672.6,23567.7,-29.0,415.2,928.1,1418.4,2968.4,-12.3,44.6,165.1,274.2,391.5,-26.1,10636.5,20802.7,30380.0,39028.0,
456,-65.4,9155.8,15836.7,20391.6,25719.7,-29.5,446.0,1003.9,1544.8,3245.6,-22.8,39.5,180.5,293.4,422.3,-35.2,11630.9,22673.2,33118.7,42380.8,
457,-75.8,9904.5,17120.6,21998.0,27776.5,-42.8,470.7,1081.3,1672.8,3514.1,-41.2,44.3,183.4,312.2,452.2,-50.2,12616.7,24468.6,35772.9,45526.1,
458,-85.1,10641.3,18382.5,23578.8,29798.6,-55.4,495.9,1158.1,1799.5,3778.1,-58.5,49.4,187.1,331.4,482.0,-64.7,13584.9,26234.2,38378.3,48613.1,
459,-60.8,10996.6,18938.4,24338.9,30708.6,-48.6,537.6,1217.9,1887.5,3898.9,-40.6,66.0,214.7,361.7,506.6,-58.5,13988.6,27045.7,39422.1,49836.4,
460,-36.6,11352.0,19494.3,25099.1,31618.5,-41.8,579.3,1277.6,1975.5,4019.7,-22.7,82.5,242.3,392.0,531.1,-52.3,14392.3,27857.1,40465.9,51059.7,
461,-26.8,11515.4,19716.4,25405.8,32002.2,-33.6,589.8,1298.2,1998.5,4060.4,-16.8,87.9,247.7,406.4,543.5,-46.4,14571.2,28185.4,40897.4,51540.1,
462,-29.7,11510.7,19646.2,25315.4,31925.1,-24.0,573.1,1284.5,1964.6,4030.8,-21.4,83.4,233.6,407.0,545.2,-40.7,14553.4,28090.5,40792.8,51370.0,
463,-32.6,11486.1,19548.3,25190.1,31801.4,-15.5,556.4,1268.7,1929.3,3995.9,-25.3,78.5,220.8,406.7,546.0,-35.3,14512.6,27956.5,40629.9,51135.5,
464,-36.1,10990.4,18798.9,24242.9,30584.4,-30.9,542.0,1204.7,1861.3,3834.5,-15.9,65.5,237.2,385.4,524.2,-37.3,13934.4,26899.3,39096.1,49389.0,
465,-39.6,10494.8,18049.5,23295.7,29367.4,-46.4,527.6,1140.7,1793.3,3673.1,-6.4,52.4,253.5,364.1,502.5,-39.3,13356.1,25842.1,37562.3,47642.5,
466,-41.7,9889.1,17054.9,22012.0,27755.6,-54.6,505.7,1077.7,1703.0,3482.6,-16.7,44.9,237.3,342.5,476.1,-41.3,12615.2,24458.3,35546.8,45242.5,
467,-42.8,9194.3,15862.0,20456.4,25824.9,-56.8,477.6,1015.6,1594.7,3268.7,-43.1,41.9,194.9,320.5,445.8,-43.1,11742.8,22810.8,33142.0,42314.4,
468,-43.4,8502.2,14672.0,18905.2,23897.8,-58.6,449.3,953.4,1486.4,3053.3,-67.2,39.0,154.6,298.5,415.1,-45.0,10870.9,21161.5,30735.7,39374.3,
