Wavelength,W,R,G,B
725,988.1,1040.8,177.6,108.4
726,996.6,999.8,163.6,133.1
727,1035.1,930,112.8,141.4
728,1032.3,938.1,111.2,152.8
729,1017,967.2,124.2,165.2
730,937.6,924.4,192.1,172.7
731,879.5,899.9,235.2,175.6
732,884.7,929.7,205.7,164.6
733,901.3,942.1,182.4,170.1
734,929.5,937.3,165.1,192
735,940.2,947,187.8,219.5
736,944.2,960.6,223.8,248.1
737,854,913.5,271.5,217.2
738,781.7,876.5,275.1,196.8
739,755.7,866.1,164.4,203.5
740,785.5,902.2,157.3,227
741,860.9,976.3,235.1,264.2
742,836.2,883,191.7,255
743,805.5,767.7,143.5,237.5
744,891.1,753.2,255,230.1
745,883.6,738.2,316.5,177.7
746,738.8,722.3,304.3,58.6
747,731.7,698.8,215.7,65.9
748,783.2,673,96.1,127.3
749,821.3,799,241.9,229.6
750,842.9,870,336,265.5
751,828.7,821.9,317.5,157.3
752,768.4,740.2,256,176.7
753,681.2,639,169.4,270.4
754,720.1,664.2,189.6,286
755,767.7,697.7,234.4,278.7
756,822.5,737.3,328.7,222.9
757,758.8,723.3,323.4,244.8
758,622.5,676.3,257,314.3
759,783.5,759.4,259.1,285.3
760,867.5,801.7,270.8,255.2
761,752.6,741.3,297.6,231.6
762,672.2,668.6,231.8,196.7
763,612.8,595.1,123.8,156.4
764,698.3,741.5,208.8,131.2
765,755.3,774.9,226.9,125.2
766,768.1,632.1,140.7,149.1
767,692.2,571.9,117.1,204.8
768,619.7,547.9,123.7,255.3
769,733.1,588,194.2,215.5
770,776.5,709.9,238.6,168.1
771,757.2,904.9,259.7,114
772,696.2,774.4,274.8,152.5
773,651.4,698.7,282.3,182.1
774,649.4,801.9,274.4,175.3
775,723.9,856.8,278.3,169
776,805.2,870.4,279.5,170.9
777,736.6,735.1,232.1,226
778,695.8,692.9,341,289.2
779,677.9,727.8,578.9,359.2
780,766.5,705.7,355.7,181.1
781,797.2,752.2,232.7,94.2
782,735.3,905.1,282.5,156.8
783,736.3,839.4,239.2,290.3
784,749.6,734.7,197.1,346.2
785,762,643.1,207.9,158
786,786.7,754.3,355.8,154.6
787,779.1,874.7,489.5,231.8
788,594.1,660.3,298.1,349.8
789,666.3,689.6,259.3,317.8
790,882.1,837.6,307.5,210.3
791,1033,761.7,333.9,220.5
792,985.5,672.1,269,293
793,793.3,586,147.5,406.9
794,771.9,815.2,327.1,375.9
795,752.8,886.9,404.3,279.8
796,736.4,814.8,387.2,128.5
797,778,678.3,265.9,269.3
798,824.3,744.3,255.8,337.8
799,875.5,1005,353.7,335.1
800,954.2,953.4,438.5,228.2
801,948.8,850,460.2,190.7
802,867.6,703.5,418.9,225.2
803,950.4,800.8,254.9,505.3
804,1058.5,1000.9,317.6,535.9
805,1174.3,1264.1,547,366.2
806,1090.5,1180,415.1,355.1
807,1192.5,1088.9,406.7,412.2
808,1393.2,1040.9,461.3,487.5
809,1399.6,1319.1,369.5,369.7
810,1487.4,1409.5,283.5,340.9
811,1578.9,1429.4,241.2,360
812,1535,1533,348.5,392.5
813,1866.8,1971.2,380,305.8
814,2188.2,2257.4,379.2,163.4
815,2246.6,2009.2,359.3,-19.3
816,2329.1,2562.2,597.5,375.8
817,2635.2,2947.1,679.8,672.6
818,3193,3003.6,545.2,745.7
819,3240.9,3040.3,820.5,278.5
820,3496.6,3306.3,828.2,326.6
821,3873.8,3714,685.6,641.4
822,4194.2,4090.3,642,668.2
823,4466.2,4133.2,550.9,427.7
824,4642.6,4210.3,441.4,312.4
825,4682.8,4499.3,323.7,529.2
826,4553.7,4418.2,392.2,330.3
827,4878.9,4585.5,397.4,240.8
828,5357.1,4923.6,396.1,312.4
829,5110.2,5207.5,569.1,698.6
830,5410.9,5011,365.3,454.5
831,5586.8,4932.2,342.2,282.1
832,5437.5,5146,648.1,395.4
833,5380.8,5229.6,587.2,497.6
834,5508.8,5251.7,550,787.3
835,5580,5258,564.9,914.8
836,5368.1,5287.9,664.2,541.1
837,5107.6,5007.8,394.7,539.3
838,5043.8,4773.8,449,469.5
839,5160.6,4690.8,653.2,495.6
840,5434.7,4922.9,706.2,910.1
841,5185.3,4961.5,349.6,544
842,4954.6,5013.7,396.2,520.7
843,4954.6,5239.6,773,791.3
844,5500.5,5907.9,1233.9,1104.9
845,5880.2,5941.1,735.4,543.8
846,5900.4,5989.2,763.5,453.6
847,6097.1,6236.7,1126.1,632.6
848,7282.2,6875.8,1357.5,618.7
849,8085.9,7971.5,1145.9,978.4
850,8517.6,8850.5,895.7,627.5
